5.250251e+002;1.694069e-001
5.255073e+002;1.589884e-001
5.259894e+002;1.511997e-001
5.264715e+002;1.461438e-001
5.269536e+002;1.435457e-001
5.274357e+002;1.429464e-001
5.279178e+002;1.438287e-001
5.284000e+002;1.457438e-001
5.288821e+002;1.483212e-001
5.293642e+002;1.511820e-001
5.298463e+002;1.539216e-001
5.303284e+002;1.561655e-001
5.308105e+002;1.576498e-001
5.312927e+002;1.583972e-001
5.317748e+002;1.587310e-001
5.322569e+002;1.591950e-001
5.327390e+002;1.603154e-001
5.332211e+002;1.624296e-001
5.337032e+002;1.656160e-001
5.341854e+002;1.696852e-001
5.346675e+002;1.742970e-001
5.351496e+002;1.790856e-001
5.356317e+002;1.838142e-001
5.361138e+002;1.883803e-001
5.365959e+002;1.927344e-001
5.370781e+002;1.967794e-001
5.375602e+002;2.003217e-001
5.380423e+002;2.031405e-001
5.385244e+002;2.051608e-001
5.390065e+002;2.065808e-001
5.394886e+002;2.078834e-001
5.399708e+002;2.096065e-001
5.404529e+002;2.121472e-001
5.409350e+002;2.155195e-001
5.414171e+002;2.193315e-001
5.418992e+002;2.228759e-001
5.423813e+002;2.254377e-001
5.428635e+002;2.266319e-001
5.433456e+002;2.265325e-001
5.438277e+002;2.256123e-001
5.443098e+002;2.244366e-001
5.447919e+002;2.234530e-001
5.452740e+002;2.228083e-001
5.457562e+002;2.223864e-001
5.462383e+002;2.219675e-001
5.467204e+002;2.214173e-001
5.472025e+002;2.207862e-001
5.476846e+002;2.202554e-001
5.481667e+002;2.199746e-001
5.486489e+002;2.199235e-001
5.491310e+002;2.198633e-001
5.496131e+002;2.194453e-001
5.500952e+002;2.183909e-001
5.505773e+002;2.166600e-001
5.510594e+002;2.144936e-001
5.515416e+002;2.122917e-001
5.520237e+002;2.104234e-001
5.525058e+002;2.090341e-001
5.529879e+002;2.080260e-001
5.534700e+002;2.071243e-001
5.539521e+002;2.060584e-001
5.544343e+002;2.046894e-001
5.549164e+002;2.030825e-001
5.553985e+002;2.014195e-001
5.558806e+002;1.998618e-001
5.563627e+002;1.984105e-001
